payment_method_id,type,card_type,card_token,last_four
pm_000001,credit_card,visa,secure_token_1,5893
pm_000002,credit_card,visa,secure_token_2,8543
pm_000003,credit_card,mastercard,secure_token_3,6806
pm_000004,credit_card,amex,secure_token_4,2131
pm_000005,credit_card,visa,secure_token_5,8285
pm_000006,credit_card,mastercard,secure_token_6,1891
pm_000007,credit_card,mastercard,secure_token_7,9769
pm_000008,credit_card,amex,secure_token_8,1214
pm_000009,credit_card,visa,secure_token_9,7380
pm_000010,credit_card,amex,secure_token_10,1847
pm_000011,credit_card,amex,secure_token_11,3679
pm_000012,credit_card,amex,secure_token_12,2784
pm_000013,credit_card,amex,secure_token_13,6541
pm_000014,credit_card,amex,secure_token_14,2226
pm_000015,credit_card,mastercard,secure_token_15,3099
pm_000016,credit_card,amex,secure_token_16,3855
pm_000017,credit_card,amex,secure_token_17,8042
pm_000018,credit_card,visa,secure_token_18,7259
pm_000019,credit_card,amex,secure_token_19,9258
pm_000020,credit_card,amex,secure_token_20,8283
pm_000021,credit_card,mastercard,secure_token_21,2654
pm_000022,credit_card,amex,secure_token_22,1560
pm_000023,credit_card,amex,secure_token_23,9630
pm_000024,credit_card,mastercard,secure_token_24,3688
pm_000025,credit_card,amex,secure_token_25,8929
pm_000026,credit_card,amex,secure_token_26,7953
pm_000027,credit_card,mastercard,secure_token_27,8221
pm_000028,credit_card,visa,secure_token_28,8573
pm_000029,credit_card,mastercard,secure_token_29,2547
pm_000030,credit_card,amex,secure_token_30,7625
pm_000031,credit_card,visa,secure_token_31,4727
pm_000032,credit_card,visa,secure_token_32,3650
pm_000033,credit_card,amex,secure_token_33,4076
pm_000034,credit_card,amex,secure_token_34,3449
pm_000035,credit_card,mastercard,secure_token_35,5604
pm_000036,credit_card,amex,secure_token_36,2318
pm_000037,credit_card,mastercard,secure_token_37,8064
pm_000038,credit_card,mastercard,secure_token_38,4030
pm_000039,credit_card,visa,secure_token_39,5284
pm_000040,credit_card,mastercard,secure_token_40,4278
pm_000041,credit_card,mastercard,secure_token_41,8204
pm_000042,credit_card,visa,secure_token_42,6559
pm_000043,credit_card,mastercard,secure_token_43,2950
pm_000044,credit_card,amex,secure_token_44,6155
pm_000045,credit_card,visa,secure_token_45,6653
pm_000046,credit_card,visa,secure_token_46,8798
pm_000047,credit_card,amex,secure_token_47,3810
pm_000048,credit_card,amex,secure_token_48,9634
pm_000049,credit_card,amex,secure_token_49,8086
pm_000050,credit_card,amex,secure_token_50,6304
pm_000051,credit_card,amex,secure_token_51,4166
pm_000052,credit_card,amex,secure_token_52,4386
pm_000053,credit_card,mastercard,secure_token_53,5099
pm_000054,credit_card,mastercard,secure_token_54,7701
pm_000055,credit_card,mastercard,secure_token_55,5040
pm_000056,credit_card,amex,secure_token_56,4774
pm_000057,credit_card,mastercard,secure_token_57,9130
pm_000058,credit_card,mastercard,secure_token_58,8906
pm_000059,credit_card,mastercard,secure_token_59,6080
pm_000060,credit_card,visa,secure_token_60,9237
pm_000061,credit_card,visa,secure_token_61,5723
